game_id,winner_id,winner_name,game_length_rounds,game_length_terms,simulation_time_seconds
0,2,Random Bot 3,55,4,0.0011730194091796875
1,2,Random Bot 3,64,7,0.0011210441589355469
2,1,Random Bot 2,50,6,0.000988006591796875
3,3,Random Bot 4,49,5,0.0009059906005859375
4,2,Random Bot 3,60,4,0.00215911865234375
5,0,Random Bot 1,55,6,0.0067288875579833984
6,2,Random Bot 3,60,5,0.0010700225830078125
7,1,Random Bot 2,52,5,0.0010809898376464844
8,0,Random Bot 1,50,5,0.0009829998016357422
9,0,Random Bot 1,50,5,0.001280069351196289
10,0,Random Bot 1,58,9,0.0017468929290771484
11,0,Random Bot 1,51,4,0.006610870361328125
12,1,Random Bot 2,55,4,0.0010213851928710938
13,2,Random Bot 3,60,5,0.0010330677032470703
14,2,Random Bot 3,53,6,0.0009920597076416016
15,2,Random Bot 3,56,5,0.0013549327850341797
16,3,Random Bot 4,56,5,0.0018351078033447266
17,0,Random Bot 1,48,5,0.005981922149658203
18,2,Random Bot 3,51,5,0.0009667873382568359
19,2,Random Bot 3,56,6,0.0009999275207519531
20,1,Random Bot 2,55,4,0.0010008811950683594
21,0,Random Bot 1,56,3,0.0011699199676513672
22,0,Random Bot 1,61,5,0.009469270706176758
23,0,Random Bot 1,55,6,0.0010480880737304688
24,1,Random Bot 2,56,8,0.0010089874267578125
25,0,Random Bot 1,59,6,0.0011172294616699219
26,1,Random Bot 2,53,5,0.0020380020141601562
27,0,Random Bot 1,57,6,0.0011119842529296875
28,1,Random Bot 2,55,3,0.005400896072387695
29,2,Random Bot 3,56,6,0.0008497238159179688
30,2,Random Bot 3,63,5,0.0008938312530517578
31,2,Random Bot 3,53,6,0.0008189678192138672
32,0,Random Bot 1,52,3,0.0007710456848144531
33,0,Random Bot 1,56,5,0.0070209503173828125
34,0,Random Bot 1,61,7,0.0011608600616455078
35,1,Random Bot 2,56,4,0.0009620189666748047
36,0,Random Bot 1,51,4,0.001013040542602539
37,2,Random Bot 3,58,5,0.0013189315795898438
38,3,Random Bot 4,55,5,0.0016682147979736328
39,2,Random Bot 3,58,5,0.007122993469238281
40,3,Random Bot 4,54,4,0.0011272430419921875
41,0,Random Bot 1,53,8,0.0010869503021240234
42,2,Random Bot 3,58,6,0.0010223388671875
43,2,Random Bot 3,62,6,0.0022482872009277344
44,3,Random Bot 4,57,4,0.0010478496551513672
45,0,Random Bot 1,61,5,0.005728960037231445
46,0,Random Bot 1,59,5,0.001028299331665039
47,2,Random Bot 3,59,5,0.0011010169982910156
48,0,Random Bot 1,60,6,0.0014119148254394531
49,2,Random Bot 3,60,8,0.001764059066772461
50,2,Random Bot 3,63,6,0.006836891174316406
51,1,Random Bot 2,62,5,0.0011830329895019531
52,2,Random Bot 3,60,5,0.0009801387786865234
53,0,Random Bot 1,50,5,0.00080108642578125
54,0,Random Bot 1,61,5,0.0013229846954345703
55,1,Random Bot 2,61,5,0.006968975067138672
56,0,Random Bot 1,55,4,0.001033782958984375
57,3,Random Bot 4,50,6,0.0009520053863525391
58,1,Random Bot 2,55,5,0.0011649131774902344
59,2,Random Bot 3,57,5,0.0010118484497070312
60,0,Random Bot 1,53,5,0.0018379688262939453
61,1,Random Bot 2,55,6,0.006664276123046875
62,0,Random Bot 1,53,5,0.001024007797241211
63,1,Random Bot 2,62,5,0.0010039806365966797
64,1,Random Bot 2,50,6,0.0009760856628417969
65,0,Random Bot 1,51,5,0.0011746883392333984
66,2,Random Bot 3,58,6,0.001538991928100586
67,3,Random Bot 4,51,6,0.005953073501586914
68,0,Random Bot 1,54,4,0.0008687973022460938
69,0,Random Bot 1,63,7,0.0008866786956787109
70,1,Random Bot 2,60,5,0.0008490085601806641
71,0,Random Bot 1,52,5,0.0014526844024658203
72,0,Random Bot 1,51,5,0.0017600059509277344
73,1,Random Bot 2,62,6,0.006172895431518555
74,1,Random Bot 2,63,5,0.0010771751403808594
75,0,Random Bot 1,63,5,0.001026153564453125
76,3,Random Bot 4,62,5,0.0010509490966796875
77,2,Random Bot 3,59,8,0.0021948814392089844
78,0,Random Bot 1,56,7,0.0062999725341796875
79,1,Random Bot 2,60,5,0.001107931137084961
80,0,Random Bot 1,61,5,0.0010631084442138672
81,0,Random Bot 1,59,5,0.0009729862213134766
82,0,Random Bot 1,50,6,0.0012059211730957031
83,3,Random Bot 4,66,6,0.007559061050415039
84,1,Random Bot 2,53,4,0.0009622573852539062
85,0,Random Bot 1,56,6,0.0010399818420410156
86,2,Random Bot 3,58,6,0.001027822494506836
87,3,Random Bot 4,66,6,0.0010819435119628906
88,0,Random Bot 1,65,6,0.002187967300415039
89,1,Random Bot 2,51,6,0.006151914596557617
90,1,Random Bot 2,50,5,0.0011029243469238281
91,2,Random Bot 3,54,5,0.0011692047119140625
92,1,Random Bot 2,56,6,0.0011119842529296875
93,1,Random Bot 2,68,8,0.002101898193359375
94,1,Random Bot 2,48,3,0.00670623779296875
95,0,Random Bot 1,63,8,0.0009829998016357422
96,0,Random Bot 1,62,9,0.0011091232299804688
97,3,Random Bot 4,51,5,0.0009658336639404297
98,2,Random Bot 3,52,5,0.0011279582977294922
99,1,Random Bot 2,59,5,0.0020380020141601562
100,0,Random Bot 1,57,5,0.006352901458740234
101,1,Random Bot 2,61,4,0.0010082721710205078
102,1,Random Bot 2,56,6,0.0010662078857421875
103,1,Random Bot 2,67,6,0.0011441707611083984
104,0,Random Bot 1,56,5,0.0019681453704833984
105,3,Random Bot 4,60,7,0.006868839263916016
106,1,Random Bot 2,64,8,0.0010890960693359375
107,3,Random Bot 4,59,9,0.001107931137084961
108,1,Random Bot 2,57,7,0.001107931137084961
109,2,Random Bot 3,79,5,0.0015392303466796875
110,1,Random Bot 2,55,5,0.0071299076080322266
111,1,Random Bot 2,57,4,0.0011789798736572266
112,0,Random Bot 1,49,4,0.0009348392486572266
113,1,Random Bot 2,51,4,0.0010030269622802734
114,1,Random Bot 2,51,5,0.0013728141784667969
115,2,Random Bot 3,53,6,0.001584768295288086
116,0,Random Bot 1,47,5,0.0008931159973144531
117,2,Random Bot 3,47,4,0.006654024124145508
118,3,Random Bot 4,63,6,0.0011959075927734375
119,1,Random Bot 2,55,4,0.0009329319000244141
120,0,Random Bot 1,49,5,0.0010571479797363281
121,1,Random Bot 2,53,5,0.0019488334655761719
122,2,Random Bot 3,60,5,0.006911039352416992
123,1,Random Bot 2,57,5,0.0010178089141845703
124,2,Random Bot 3,55,5,0.001088857650756836
125,0,Random Bot 1,53,6,0.0012941360473632812
126,0,Random Bot 1,60,6,0.001360177993774414
127,3,Random Bot 4,71,5,0.0016818046569824219
128,1,Random Bot 2,62,6,0.007384777069091797
129,0,Random Bot 1,53,3,0.0010309219360351562
130,0,Random Bot 1,60,5,0.0010848045349121094
131,0,Random Bot 1,57,7,0.0010488033294677734
132,2,Random Bot 3,55,6,0.0016350746154785156
133,3,Random Bot 4,61,7,0.0069119930267333984
134,1,Random Bot 2,53,3,0.0010259151458740234
135,0,Random Bot 1,59,5,0.000997304916381836
136,3,Random Bot 4,48,5,0.0009720325469970703
137,0,Random Bot 1,53,6,0.001920938491821289
138,0,Random Bot 1,50,4,0.0010089874267578125
139,2,Random Bot 3,56,5,0.005908966064453125
140,0,Random Bot 1,57,5,0.0010418891906738281
141,0,Random Bot 1,52,6,0.0010097026824951172
142,3,Random Bot 4,66,6,0.0013048648834228516
143,0,Random Bot 1,52,5,0.0013968944549560547
144,3,Random Bot 4,51,5,0.006951808929443359
145,0,Random Bot 1,59,5,0.0010831356048583984
146,1,Random Bot 2,63,6,0.0011718273162841797
147,2,Random Bot 3,60,5,0.000990152359008789
148,1,Random Bot 2,59,5,0.0013692378997802734
149,2,Random Bot 3,57,5,0.0017039775848388672
150,1,Random Bot 2,54,5,0.006634235382080078
151,1,Random Bot 2,57,8,0.0012028217315673828
152,2,Random Bot 3,58,8,0.001068115234375
153,2,Random Bot 3,56,4,0.001397848129272461
154,1,Random Bot 2,58,5,0.0016241073608398438
